title,Conference,Type,virtualsite_url,domain/subject,MLTech,openreview_link
The Multimodal Universe: Enabling Large-Scale Machine Learning with 100 TB of Astronomical Scientific Data,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97791,physics,,https://openreview.net/forum?id=EWm9zR5Qy1
The Well: a Large-Scale Collection of Diverse Physics Simulations for Machine Learning,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97882,physics,,https://openreview.net/forum?id=00Sx577BT3
Towards Dynamic Non-Line-of-Sight Imaging with Mamba Enforced Temporal Consistency,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95216,physics,state_space_model,https://openreview.net/forum?id=QiCJomIW3l
"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93693,multidisciplinary,transformer,https://openreview.net/forum?id=nRRJsDahEg
Towards Effective Planning Strategies for Dynamic Opinion Networks,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95585,social_science,reinforcement_learning,https://openreview.net/forum?id=LYivxMp5es
Towards Multi-dimensional Explanation Alignment for Medical Classification,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96768,medical_healthcare,neural_network,https://openreview.net/forum?id=3A5VgiH5Pw
Towards Open Respiratory Acoustic Foundation Models: Pretraining and Benchmarking,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97457,medical_healthcare,foundation_model,https://openreview.net/forum?id=vXnGXRbOfb
Towards Stable Representations for Protein Interface Prediction,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95383,biology,neural_network,https://openreview.net/forum?id=OEWBkLrRZu
Towards Universal Mesh Movement Networks,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93817,physics,graph_transformer,https://openreview.net/forum?id=lcALCNF2qe
Training Compute-Optimal Protein Language Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93287,biology,transformer,https://openreview.net/forum?id=uCZI8gSfD4
Trajectory Flow Matching with Applications to Clinical Time Series Modelling,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94212,medical_healthcare,flow_matching,https://openreview.net/forum?id=fNakQltI1N
Transferable Boltzmann Generators,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96246,chemistry,normalizing_flow,https://openreview.net/forum?id=AYq6GxxrrY
TurboHopp: Accelerated Molecule Scaffold Hopping with Consistency Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93849,chemistry,diffusion_model,https://openreview.net/forum?id=lBh5kuuY1L
Ultrafast classical phylogenetic method beats large protein language models on variant effect prediction,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95854,biology,phylogenetic_algorithm,https://openreview.net/forum?id=H7mENkYB2J
Unified Guidance for Geometry-Conditioned Molecular Generation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95815,chemistry,diffusion_model,https://openreview.net/forum?id=HeoRsnaD44
Unified Insights: Harnessing Multi-modal Data for Phenotype Imputation via View Decoupling,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96387,medical_healthcare,neural_network,https://openreview.net/forum?id=8B3sAX889P
UniIF: Unified Molecule Inverse Folding,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94387,multidisciplinary,geometric_deep_learning,https://openreview.net/forum?id=clqX9cVDKV
UniTox: Leveraging LLMs to Curate a Unified Dataset of Drug-Induced Toxicity from FDA Labels,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97665,medical_healthcare,,https://openreview.net/forum?id=Vb1vVr75JT
Universal Physics Transformers: A Framework For Efficiently Scaling Neural Operators,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93621,physics,transformer,https://openreview.net/forum?id=oUXiNX5KRm
FlexSBDD: Structure-Based Drug Design with Flexible Protein Modeling,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96689,chemistry,flow_matching;E(3)-equivariant_network;generative_model,https://openreview.net/forum?id=4AB54h21qG
PocketFlow: Generalized Protein Pocket Generation with Prior-Informed Flow Matching,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94801,chemistry,flow_matching;equivariant_network;generative_model,https://openreview.net/forum?id=WyVTj77KEV
PepGLAD: Full-Atom Peptide Design with Geometric Latent Diffusion,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95784,chemistry,diffusion_model;VAE;equivariant_network,https://openreview.net/forum?id=IAQNJUJe8q
Generating Highly Designable Proteins with Geometric Algebra Flow Matching,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93710,chemistry,flow_matching;equivariant_transformer,https://openreview.net/forum?id=nAnEStxyfy
FlowLLM: Flow Matching for Material Generation with Large Language Models as Base Distributions,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96921,materials,flow_matching;large_language_model;graph_representation,https://openreview.net/forum?id=0bFXbEMz8e
Generative Hierarchical Materials Search (GenMS),NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95278,materials,diffusion_model;language_model;tree_search,https://openreview.net/forum?id=PsPR4NOiRC
Geo-FNO: Fourier Neural Operator with Learned Deformations for PDEs on General Geometries,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/98327,physics,fourier_neural_operator;operator_learning;transformer,
